Haliwen,Small airport,Atambua-Timor Island,Indonesia,ABU,WATA,
Nnamdi Azikiwe International,Large airport,Abuja,Nigeria,ABV,DNAA,
Abau잺losed,Closed,Abau,Papua New Guinea,ABW,,
Albury,Medium airport,Albury,Australia,ABX,YMAY,
Southwest Georgia Regional,Medium airport,Albany,United States,ABY,KABY,ABY
Aberdeen Dyce,Large airport,Aberdeen,United Kingdom,ABZ,EGPD,
General Juan N Alvarez International,Large airport,Acapulco,Mexico,ACA,MMAA,
Antrim County,Small airport,Bellaire,United States,ACB,KACB,ACB
Kotoka International,Large airport,Accra,Ghana,ACC,DGAA,
Alcides Fern?dez,Small airport,Acand?Colombia,ACD,SKAD,,
Lanzarote,Medium airport,Lanzarote Island,Spain,ACE,GCRR,
Brisbane Archerfield,Small airport,Brisbane,Australia,ACF,YBAF,
St Gallen Altenrhein,Medium airport,Altenrhein,Switzerland,ACH,LSZR,
Alderney,Medium airport,Saint Anne,Guernsey,ACI,EGJA,
Anuradhapura Air Force Base,Medium airport,Anuradhapura,Sri Lanka,ACJ,VCCA,
Nantucket Memorial,Medium airport,Nantucket,United States,ACK,KACK,ACK
Aguaclara,Small airport,Aguaclara,Colombia,ACL,,
Arica,Small airport,Arica,Colombia,ACM,,
Ciudad Acu? New International,Small airport,Ciudad Acu?,Mexico,ACN,MMCC,
Ascona잺losed,Closed,Ascona,Switzerland,ACO,LSZD,
Sahand,Small airport,Maragheh,Iran,ACP,OITM,
Araracuara,Small airport,Araracuara,Colombia,ACR,SKAC,
Achinsk,Medium airport,Achinsk,Russia,ACS,UNKS,
Waco Regional,Medium airport,Waco,United States,ACT,KACT,ACT
Achutupo,Small airport,Achutupo,Panama,ACU,,
Arcata,Medium airport,Arcata/Eureka,United States,ACV,KACV,ACV
Xingyi,Medium airport,Xingyi,China,ACX,ZUYI,
Atlantic City International,Medium airport,Atlantic City,United States,ACY,KACY,ACY
Zabol,Medium airport,,Iran,ACZ,OIZB,
Adana,Large airport,Adana,Turkey,ADA,LTAF,
Adnan Menderes International,Large airport,?zmir,Turkey,ADB,LTBJ,
Addis Ababa Bole International,Large airport,Addis Ababa,Ethiopia,ADD,HAAB,
Aden International,Medium airport,Aden,Yemen,ADE,OYAA,
Ad?yaman,Medium airport,Ad?yaman,Turkey,ADF,LTCP,
Lenawee County,Small airport,Adrian,United States,ADG,KADG,ADG
Aldan,Small airport,Aldan,Russia,ADH,UEEA,
Arandis,Medium airport,Arandis,Namibia,ADI,FYAR,
Amman-Marka International,Medium airport,Amman,Jordan,ADJ,OJAM,
Adak,Medium airport,Adak Island,United States,ADK,PADK,ADK
Adelaide International,Medium airport,Adelaide,Australia,ADL,YPAD,
Ardmore Municipal,Small airport,Ardmore,United States,ADM,KADM,ADM
Andes,Small airport,Andes,Colombia,ADN,SKAN,
Andamooka,Small airport,,Australia,ADO,YAMK,
Ampara,Medium airport,Ampara,Sri Lanka,ADP,VCCG,
Kodiak,Medium airport,Kodiak,United States,ADQ,PADQ,ADQ
Robert F Swinnie,Small airport,Andrews,United States,ADR,KPHH,PHH
Addison,Small airport,Dallas,United States,ADS,KADS,ADS
Ada Regional,Small airport,Ada,United States,ADT,KADH,ADH
Ardabil,Medium airport,Ardabil,Iran,ADU,OITL,
Andrews Air Force Base,Large airport,Camp Springs,United States,ADW,KADW,ADW
RAF Leuchars,Medium airport,St. Andrews,United Kingdom,ADX,EGQL,
Alldays,Small airport,Alldays,South Africa,ADY,FAAL,
Gustavo Rojas Pinilla International,Medium airport,San Andr?,Colombia,ADZ,SKSP,
Abemama Atoll,Small airport,Abemama Atoll,Kiribati,AEA,NGTB,
Baise Youjiang,Medium airport,Baise,China,AEB,ZGBS,
Aleneva잺losed,Closed,Aleneva,United States,AED,,
Adareil,Small airport,,South Sudan,AEE,,
Aek Godang,Medium airport,Padang Sidempuan-Sumatra Island,Indonesia,AEG,WIME,
Abeche,Medium airport,,Chad,AEH,FTTC,
